calle,calle_proper,plazas_pmr,plazas_total,metros_pmr,zonas_cyd,nplazas_cyd,metros_cyd,plazas_ora,tipo_ora,ubicacion_ora,latitude,longitude
"LUIS MIRANDA DAVALOS, AVENIDA",Avenida Luis Miranda Dávalos,1,1,7.40,0,0,0.00,0,Ninguno,Ninguna,,
"LUZ CASANOVA, CALLE",Calle Luz Casanova,1,2,13.60,0,0,0.00,0,Ninguno,Ninguna,,
"MADRESELVA, CALLE",Calle Madreselva,1,1,3.50,0,0,0.00,0,Ninguno,Ninguna,,
"MADRID, AVENIDA, DE",Avenida de Madrid,1,2,8.90,2,0,19.30,77,Azul,Toda la calle,,
"MADRO?ERAS, CALLE, LAS",Calle Las Madroñeras,1,1,6.60,0,0,0.00,0,Ninguno,Ninguna,,
"MAITENA, CALLE",Calle Maitena,2,4,12.90,0,0,0.00,0,Ninguno,Ninguna,,
"MALAGA (BOBADILLA), CARRETERA, DE",Carretera de Málaga (Bobadilla),1,2,9.80,0,0,0.00,0,Ninguno,Ninguna,,
"MALAGA, CALLE",Calle Málaga,1,3,19.20,3,0,45.30,0,Ninguno,Ninguna,,
"MALAGA, CARRETERA, DE",Carretera de Málaga (Bobadilla),4,5,33.93,1,0,31.40,0,Ninguno,Ninguna,,
"MANUEL DE FALLA, CALLE",Calle Manuel de Falla,0,0,0.00,3,0,68.60,93,Azul,Toda la calle,,
CALLE MANUEL GOMEZ MORENO,Calle Manuel Gómez Moreno,0,0,0.00,0,0,0.00,39,Azul,Toda la calle,,
"MARGARITA NELKEN, CALLE",Calle Margarita Nelken,1,1,6.90,0,0,0.00,0,Ninguno,Ninguna,,
"MARGARITA XIRGU, CALLE",Calle Margarita Xirgu,2,5,22.30,0,0,0.00,0,Ninguno,Ninguna,,
"MARIA GOYRI, CALLE",Calle María Goyri,1,1,5.10,0,0,0.00,0,Ninguno,Ninguna,,
"MARIA JOSEFA RECIO, PLAZA",Plaza María Josefa Recio,1,1,6.00,0,0,0.00,0,Ninguno,Ninguna,,
"MARIA LUISA DE DIOS, CALLE",Calle María Luisa de Dios,0,0,0.00,1,0,14.80,13,Azul,Toda la calle,,
"MARIANA CARVAJAL, CALLE",Calle Mariana Carvajal,2,2,10.00,0,0,0.00,0,Ninguno,Ninguna,,
"MARIANA PINEDA, PLAZA, DE",Calle Mariana Pineda,1,1,8.40,1,0,15.10,0,Ninguno,Ninguna,,
"MARQUES DE FALCES, CALLE",Calle Marqués de Falces,0,0,0.00,2,0,48.70,0,Ninguno,Ninguna,,
"MARQUES DE LA ENSENADA, CALLE",Calle Marqués de la Ensenada,1,1,5.70,0,0,0.00,0,Ninguno,Ninguna,,
"MARQUES DE LOS VELEZ, CALLE",Calle Marqués de los Vélez,1,1,4.30,0,0,0.00,0,Ninguno,Ninguna,,
"MARTINEZ CAMPOS, CALLE",Calle Martínez Campos,0,0,0.00,4,4,72.94,74,Azul,Toda la calle,,
"MARTINEZ DE LA ROSA, CALLE",Calle Martínez de la Rosa,0,0,0.00,1,0,20.50,43,Azul,Toda la calle,,
"MARTIRES, PASEO, DE LOS",Paseo de los Mártires,3,4,17.80,0,0,0.00,0,Ninguno,Ninguna,,
